Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.8416388953473353
XGBoost,0.7991483321504613,0.6521739130434783,0.5213903743315508,0.5794947994056464,0.8387623033403083
Random Forest,0.7693399574166075,0.5576470588235294,0.6336898395721925,0.5932415519399249,0.8226549381280839
